id,Title,Locations
1,180,City Hall
2,180,Epic Roasthouse (399 Embarcadero)
3,180,Mason & California Streets (Nob Hill)
4,180,Polk & Larkin Streets
5,180,Randall Musuem
6,180,555 Market St.
7,180,200 block Market Street
8,180,Justin Herman Plaza
9,24 Hours on Craigslist,Justin Herman Plaza
10,40 Days and 40 Nights,Cafթ Trieste (609 Vallejo)
11,40 Days and 40 Nights,"The Walden House, Buena Vista Park"
12,48 Hours,"The Walden House, Buena Vista Park"
13,50 First Dates,Rainforest Cafթ (145 Jefferson Street)
14,About a Boy,Crissy Field
15,About a Boy,Powell from Bush and Sutter
16,About a Boy,Broderick from Fulton to McAlister
17,After the Thin Man,Coit Tower
18,Age of Adaline,Driving various SF Streets
19,Age of Adaline,Montgomery/Green
20,Age of Adaline,California @ Montgomery
21,Age of Adaline,Pier 50- end of the pier
22,Age of Adaline,Plate Shots SF streets various
23,A Jitney Elopement,Golden Gate Park
24,A Jitney Elopement,20th and Folsom Streets
25,Alcatraz,Broadway from Mason to Taylor
26,Alcatraz,Filbert St. from Jones to Mason
27,Alcatraz,Leavenworth from Filbert & Francisco St
28,Alcatraz,Chestnut St. from Larkin to Columbus
29,Alcatraz,Francisco St from Larkin to Polk
30,Alcatraz,Taylor St. from Broadway to Filbert
31,Alexander's Ragtime Band,Cliff House (1090 Point Lobos Avenue)
32,Alexander's Ragtime Band,"Fairmont Hotel (950 Mason Street, Nob Hill)"
33,Alexander's Ragtime Band,San Francisco Bay
34,All About Eve,Curran Theater (445 Geary Street)
35,Americana,Jackson St. at Spruce
36,Americana,20th St and Illinois/Faxon St. and Kenwood/Glenbrook at Mt. Springs
37,Americana,St. Francis Episcopal Church (399 San Fernando Way)
38,Americana,Romolo Place @ Fresno St.
39,Americana,Palace of Fine Arts
40,Americana,John Shelley Drive John McLaren Park
41,Americana,Treasure Island
42,Americana,The San Francisco School (300 Gavin St.)
43,Americana,33 Spruce St
44,Americana,Coi Restaurant (373 Broadway)
45,Americana,Foreign Cinema (2534 Mission)
46,Americana,Bernal Heights Park
47,Americana,679 Madrid St
48,Americana,Roxie Theater (3117 16th St.)
49,Americana,Variety Preview Room (582 Market St.)
50,Americana,Laguna Honda Hospital; 375 Laguna Honda Blvd.
51,Americana,3232 Jackson Ave.
52,American Graffiti,"Mel's Drive-In (Corner of Van Ness & Mission Street, Mission District)"
53,American Graffiti,3355 Geary Blvd.
54,American Yearbook,3355 Geary Blvd.
55,A Night Full of Rain,"Fairmont Hotel (950 Mason Street, Nob Hill)"
56,A Night Full of Rain,Broadway (North Beach)
57,A Night Full of Rain,San Francisco Chronicle (901 Mission Street at 15th Street)
58,A Night Full of Rain,Embarcadero Freeway
59,Another 48 Hours,Embarcadero Freeway
60,Ant-Man,Lombard at Hyde
61,Ant-Man,Intersection of Broadway at Kearney
62,Ant-Man,Conzelman Rd at McCollough Rd and down Concelman Rd.
63,Ant-Man,California between Kearney and Davis
64,Ant-Man,Broadway between Powell and Davis
65,Ant-Man,Grant between Bush and Broadway
66,Ant-Man,Intersection of California at Polk
67,Ant-Man,Market between Stuart and Van Ness
68,Ant-Man,Pine between Kearney and Davis
69,Ant-Man,Columbus between Bay and Washington
70,Ant-Man,601 Buena Vista Ave West at Java St.
71,Ant-Man,"Treasure Lisland, Building #1, Ave of the Palms"
72,Ant-Man,420 Jones St. at Ellis St.
73,Around the Fire,Ocean Beach
74,A Smile Like Yours,75 California Street
75,A Smile Like Yours ,Grace Cathedral Episcopal Church (1100 California Street)
76,A Smile Like Yours ,Hills Brothers Plaza (Embarcadero at Harrison Street)
77,A Smile Like Yours ,San Francisco International Airport
78,Attack of the Killer Tomatoes,Hyde Street Cable Car
79,A View to a Kill,Van Ness Avenue
80,A View to a Kill,"Burger Island (901 3rd Street, China Basin)"
81,A View to a Kill,Chinatown
82,A View to a Kill,City Hall
83,A View to a Kill,Potrero Hill
84,A View to a Kill,Embarcadero Freeway
85,A View to a Kill,Golden Gate Bridge
86,A View to a Kill,"Lefty O' Doul Drawbridge/ 3rd Street Bridge (3rd Street, China Basin)"
87,A View to a Kill,Port of San Francisco 
88,A View to a Kill,City Hall
89,A View to a Kill,Taylor and Jefferson Streets (Fisherman's Wharf)
90,Babies,Taylor and Jefferson Streets (Fisherman's Wharf)
91,Barbary Coast,Taylor and Jefferson Streets (Fisherman's Wharf)
92,Basic Instinct,Transbay Terminal (Mission Street at 1st Street)
93,Basic Instinct,Tosca Cafթ (242 Columbus Avenue)
94,Basic Instinct,"Steinhart Aquarium (California Academy of Sciences, Golden Gate Park)"
95,Basic Instinct,Raw Hide II (280 Seventh Street)
96,Basic Instinct,Pier 7 (The Embarcadero)
97,Basic Instinct,Kearney Street (Telegraph Hill)
98,Basic Instinct,Hall of Justice (850 Bryant Street)
99,Basic Instinct,2930 Vallejo Street
100,Basic Instinct,Chinatown
101,Basic Instinct,Gibb Street (Chinatown)
102,Basic Instinct,1158-70 Montgomery Street
103,Basic Instinct,2104 Broadway
104,Basic Instinct,Yuerba Buena Center for the Arts
105,Beaches,Yuerba Buena Center for the Arts
106,Bedazzled,"Washington Square Park (Filbert, between Stockton and Powell)"
107,Bedazzled,1155 Filbert Street at Hyde
108,Bedazzled,Vaillancourt Fountain (Justin Herman Plaza)
109,Bedazzled,Montgomery & Market Streets
110,Bedazzled,City Hall
111,Bee Season,City Hall
112,Bicentennial Man,City Hall
113,Bicentennial Man,Golden Gate Bridge
114,Bicentennial Man,Treasure Island
115,Bicentennial Man,"Postcard Row, Alamo Square, Hayes Valley"
116,Bicentennial Man,Grace Cathedral Episcopal Church (1100 California Street)
117,Big Eyes,Nobles Alley
118,Big Eyes,Caffe Trieste
119,Big Eyes,Palace of Fine Arts
120,Big Eyes,1101 Filbert St. 
121,Big Eyes,Saints Peter & Paul Church
122,Big Eyes,Green St. & Grant Ave.
123,Big Eyes,Filbert St. & Leavenworth
124,Big Eyes,Pine St. & Grant
